review,image_urls,name,date,images
best quality with shipping on time!,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,roman                                                    ,24-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
best Quality ever,https://shortsground.com/wp-content/uploads/2021/01/aaeae0f426224f0c7ce3ea4b9cf802e5.jpg,joniash                                                    ,23-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/aaeae0f426224f0c7ce3ea4b9cf802e5.jpg', 'path': 'full/99daf0373dcc2a0aa64e8dd4fa6dbb924505c068.jpg', 'checksum': 'c75e9cfade84294f4ab5ce644850e6df', 'status': 'uptodate'}]"
Always fit perfectly wish I could get more at this great price,https://shortsground.com/wp-content/uploads/2021/01/1e34829289956035d8718dcd4f5de9cb.jpg,dammy                                                    ,20-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/1e34829289956035d8718dcd4f5de9cb.jpg', 'path': 'full/47d055bdad1da76082bef37a07a70607af26327c.jpg', 'checksum': '6140334fe02aee4c9b78e1cec3acfbc6', 'status': 'uptodate'}]"
best Short ever,https://shortsground.com/wp-content/uploads/2021/01/b4d1704d6a4a17689f8d4fa934c4f7e3-1.jpg,jimmy k.                                                    ,19-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/b4d1704d6a4a17689f8d4fa934c4f7e3-1.jpg', 'path': 'full/899e2a5540f1a6884a82f2d45881a2d4eb1259eb.jpg', 'checksum': 'ccf73ebac5c14ee52de20c7ca727af10', 'status': 'uptodate'}]"
Always fit perfectly wish I could get more at this great price,https://shortsground.com/wp-content/uploads/2021/01/a69ddfba1fcf5b47ca0184c19da495c8.jpg,selly                                                    ,08-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/a69ddfba1fcf5b47ca0184c19da495c8.jpg', 'path': 'full/fe65d4ea754fa6589a5e77f4c40703816683efde.jpg', 'checksum': 'e8a0eb87c167b2762363fb136bb2fc2d', 'status': 'uptodate'}]"
Will probably order more!,https://shortsground.com/wp-content/uploads/2021/01/9da261cef3770a3d1f4648e8bf1edb1a.jpg,Heinrich                                                    ,06-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/9da261cef3770a3d1f4648e8bf1edb1a.jpg', 'path': 'full/c4067b6d4043f7e78078c09fbb2aa6b52d9a6d54.jpg', 'checksum': 'e8c1510ef5afacd28aeda8aa50a7fe6a', 'status': 'uptodate'}]"
Fits great 15year old loved them hd us 5'8 120lb they fit him so well,https://shortsground.com/wp-content/uploads/2021/01/1f1601e3b9247a8006a7b2359b311850.jpg,Carter                                                    ,05-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/1f1601e3b9247a8006a7b2359b311850.jpg', 'path': 'full/b31b01107cda1d7066008abc158a48d139f254d5.jpg', 'checksum': 'fb3fd9d59d5e12708631e679ecdc0669', 'status': 'uptodate'}]"
Sharp-looking shorts.Great fit and material,https://shortsground.com/wp-content/uploads/2021/01/da66bbcd50d9cdd798ae09477b18a9bb.jpg,Ava A.                                                    ,05-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/da66bbcd50d9cdd798ae09477b18a9bb.jpg', 'path': 'full/48bb48f36c2046a2e7b20e63c98e71d7d1f8daed.jpg', 'checksum': 'd0432dd217727e61edf3529e408b8807', 'status': 'uptodate'}]"
Ultra Game NBA Men's Woven Active Basketball Shorts,https://shortsground.com/wp-content/uploads/2021/01/9e272e18d91d19207dd390ad4db383fe.jpg,M. Bell                                                    ,04-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/9e272e18d91d19207dd390ad4db383fe.jpg', 'path': 'full/c4a15b8b72e905000ddaf7f32ddd26d73e1d27c7.jpg', 'checksum': '6b490ab3454ef1b7808b5e383a309e67', 'status': 'uptodate'}]"
Fit perfect . Good materials . Letu2019s go THUNDER !!!,https://shortsground.com/wp-content/uploads/2021/01/b7f48ffbbccb3453b075eddafccde8cb-scaled.jpg,Alexander                                                    ,04-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/b7f48ffbbccb3453b075eddafccde8cb-scaled.jpg', 'path': 'full/2bee76eb706ac5430252b206098867aa8b4f35f9.jpg', 'checksum': '9dad246038f2c025f25647dbfd005fc3', 'status': 'uptodate'}]"
I love them ?? can't go wrong,https://shortsground.com/wp-content/uploads/2021/01/089e50d81eb04463c66fc70e079468aa-scaled.jpg,Lucas                                                    ,04-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/089e50d81eb04463c66fc70e079468aa-scaled.jpg', 'path': 'full/0e5164cdd76da0c76691b886f9f04ac201ed1548.jpg', 'checksum': '5217047ff8aa3dae74993351276df007', 'status': 'uptodate'}]"
Comfortable loose fitting short length comes down to about the knee Perfect for exercise,https://shortsground.com/wp-content/uploads/2021/01/261a2be69e2d3476edd408a0d2faa5de.jpg,Mia                                                    ,03-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/261a2be69e2d3476edd408a0d2faa5de.jpg', 'path': 'full/ecbb3ec21c6523c8de85db5ec8740b0f349db5f6.jpg', 'checksum': '608fc73a1e333924b34856dc084e8012', 'status': 'uptodate'}]"
Sharp-looking shorts. Great fit and material.,https://shortsground.com/wp-content/uploads/2021/01/ef76ec908dd265683bbb4bdd9385671c-scaled.jpg,Ava A.                                                    ,03-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/ef76ec908dd265683bbb4bdd9385671c-scaled.jpg', 'path': 'full/f290b650e6fe5d7f4df5b843450eb5e99f793a3a.jpg', 'checksum': '8dc23f27781c922e7a339b37a25883c8', 'status': 'uptodate'}]"
Good quality shorts.,https://shortsground.com/wp-content/uploads/2021/01/0d585fdf3c761503dc88863f1b389210.jpg,Elijah                                                    ,03-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/0d585fdf3c761503dc88863f1b389210.jpg', 'path': 'full/55d2b1116cc2fa5b1181acb3d665bb5daee9eb6f.jpg', 'checksum': 'f0f63f31f78e4fb45d4f3311c44d2398', 'status': 'uptodate'}]"
Love them.,https://shortsground.com/wp-content/uploads/2021/01/74bc62bad9cc0a3c9e7f89bf35ff294f.jpg,James                                                    ,03-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/74bc62bad9cc0a3c9e7f89bf35ff294f.jpg', 'path': 'full/616d2142116cdfdd918ea9c9211692ea3456ee27.jpg', 'checksum': 'a6b934bc16fd7425b654b85c1d05fde2', 'status': 'uptodate'}]"
rnI will be buying a similar pare!,https://shortsground.com/wp-content/uploads/2021/01/5071da4b7beff83103728558dbca4ebc-scaled.jpg,Hernandez                                                    ,02-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/5071da4b7beff83103728558dbca4ebc-scaled.jpg', 'path': 'full/9a09da8a904292fd92ca8a1aa1e5539f289f374b.jpg', 'checksum': '653daa19f032aa7471d016bd42c03462', 'status': 'uptodate'}]"
"hese shorts can be used for shorts or casual wear great gift, especially during the holiday time",https://shortsground.com/wp-content/uploads/2021/01/813c8463bd55e0343cd75bb958a5e00e.jpg,Albert K.                                                    ,01-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/813c8463bd55e0343cd75bb958a5e00e.jpg', 'path': 'full/037947618230d015bac480e42529b062282cce91.jpg', 'checksum': '7a50ceb86fe8b981fda6b0568e7575b4', 'status': 'uptodate'}]"
Product was ordered for my 9yr old son. Fit great and material is nice quality.,https://shortsground.com/wp-content/uploads/2021/01/b4d1704d6a4a17689f8d4fa934c4f7e3-2.jpg,Ethan                                                    ,01-Feb-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/b4d1704d6a4a17689f8d4fa934c4f7e3-2.jpg', 'path': 'full/2db45e2e8449b98a92c78e28d93c0fa85be2c9d5.jpg', 'checksum': 'ccf73ebac5c14ee52de20c7ca727af10', 'status': 'uptodate'}]"
"I bought these for my grandson, who is 15 and they are a perfect fit.",https://shortsground.com/wp-content/uploads/2021/01/b42872ebbeb07e7c36c06565efbcee59.jpg,Sebastian                                                    ,29-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/b42872ebbeb07e7c36c06565efbcee59.jpg', 'path': 'full/bcb3bbdd58d02db9293a3cd39d96e0d5bf4f47a5.jpg', 'checksum': 'b4425b9285448e0537790bddc7a69276', 'status': 'uptodate'}]"
Good for laying around and sleeping in,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Michael                                                    ,04-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
he patches are large and look nice and the material of the shorts is thick for basketball shorts.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Henry                                                    ,04-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
hey are soft but not very durable,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Oliver H.                                                    ,28-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Fit perfect . Good materials . Letu2019s go THUNDER !!!,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Wyatt                                                    ,03-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Always fit perfectly wish I could get more at this great price,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Sophia                                                    ,03-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
